Column1,song_name,artist_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party,youtube_url_manual
פנתרה - Noa Kirel,פנתרה,Noa Kirel,minor,4.435790062,0.006952274,0.993047774,3.688439369,4.745341301,1.236531138,0.043505277,0.956494749,0.395310163,0.604689837,0.025410404,0.974589527,0.814229548,0.185770422,
"סהרה - Live - Tuna, Jasmin Moallem",סהרה - Live,"Tuna, Jasmin Moallem",minor,3.570543051,0.145337299,0.854662657,4.463871002,4.476933479,1.075309873,0.308823943,0.691176116,0.670183837,0.329816133,0.482502222,0.517497778,0.317916542,0.682083428,
קרן שמש - Benaia Barabi,קרן שמש,Benaia Barabi,major,4.025483608,0.108615294,0.891384661,4.647580624,4.424315453,1.062970996,0.227821261,0.77217871,0.801631033,0.198368907,0.516448617,0.483551353,0.375409096,0.624590874,
"Unholy (feat. Kim Petras) - Sam Smith, Kim Petras",Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",minor,9.312671661,0.080199212,0.919800758,4.391658783,5.161706924,1.054276466,0.214432761,0.785567224,0.618340015,0.381659955,0.207755402,0.792244673,0.550995111,0.449004889,
"סתלבט בקיבוץ - Full Trunk, Jimbo J",סתלבט בקיבוץ,"Full Trunk, Jimbo J",minor,3.75984025,0.223716646,0.776283383,4.807316303,4.542994022,1.111874819,0.63358897,0.36641106,0.885950506,0.114049487,0.677104235,0.322895795,0.288075775,0.711924195,
היי בייב - Tuna,היי בייב,Tuna,minor,4.27933073,0.08757139,0.912428617,4.415838242,4.427283287,1.369568229,0.608197689,0.391802281,0.795448422,0.204551563,0.621115446,0.378884554,0.414392889,0.585607052,
"I'm Good (Blue) - David Guetta, Bebe Rexha",I'm Good (Blue),"David Guetta, Bebe Rexha",major,2.295919657,0.005968451,0.994031489,3.616343498,4.599684715,1.058815956,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205,
עושה לי צרות - Eden Hason,עושה לי צרות,Eden Hason,major,5.490624428,0.226814151,0.773185849,5.148456573,4.988007545,1.048452139,0.181394696,0.818605304,0.855814815,0.144185141,0.410364002,0.589635968,0.406559527,0.593440473,
אינטלקטוערס - Odeya,אינטלקטוערס,Odeya,major,3.474985361,0.308611244,0.691388726,4.695327282,4.661313534,1.113783121,0.250179738,0.749820232,0.786364436,0.213635534,0.483277023,0.516722977,0.438689917,0.561310112,
סהרה - Tuna,סהרה,Tuna,minor,3.570543051,0.145337299,0.854662657,4.463871002,4.476933479,1.075309873,0.308823943,0.691176116,0.670183837,0.329816133,0.482502222,0.517497778,0.317916542,0.682083428,
As It Was - Harry Styles,As It Was,Harry Styles,major,3.310305357,0.160915598,0.839084387,5.326809883,4.961022854,1.089622855,0.459332168,0.540667892,0.926098764,0.073901244,0.746894538,0.253105432,0.247354746,0.752645254,
"Cute Boy - Nunu, Sagi Kariv, Forever Tel Aviv",Cute Boy,"Nunu, Sagi Kariv, Forever Tel Aviv",major,6.200787067,0.08428888,0.915711105,4.474160194,4.884374619,1.224835038,0.429857165,0.570142865,0.69315964,0.30684036,0.397895455,0.602104485,0.30394119,0.69605881,
