,song_name,artist_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party
קאקדילה - Omer Adam,קאקדילה,Omer Adam,minor,4.452235698699951,0.1654031425714492,0.8345968723297119,5.032931804656982,4.959092140197754,1.2189091444015503,0.0728776156902313,0.9271224141120912,0.5864171981811523,0.41358283162117,0.2097902297973632,0.7902097702026367,0.5712254643440247,0.4287745952606201
"אפס מאמץ - Static & Ben El, Netta",אפס מאמץ,"Static & Ben El, Netta",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"STAY (with Justin Bieber) - The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
הולכת איתך - Narkis,הולכת איתך,Narkis,minor,3.609241008758545,0.155115395784378,0.8448845744132996,4.786541938781738,4.661431312561035,1.2571276426315308,0.6112023591995239,0.3887977004051208,0.8743352293968201,0.1256647706031799,0.7110776901245117,0.2889222502708435,0.1959458887577057,0.8040540814399719
"Enemy (with JID) - from the series Arcane League of Legends - Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Heat Waves - Glass Animals,Heat Waves,Glass Animals,major,5.493142604827881,0.1378686726093292,0.8621313571929932,5.490515232086182,5.3527421951293945,1.0427595376968384,0.2606712281703949,0.7393287420272827,0.9240286946296692,0.075971283018589,0.5759890079498291,0.4240109622478485,0.1412937641143798,0.8587061762809753
Pepas - Farruko,Pepas,Farruko,major,3.2949025630950928,0.0099240094423294,0.9900760054588318,5.191349029541016,6.063779354095459,1.2179380655288696,0.718363881111145,0.281636118888855,0.926709234714508,0.0732907652854919,0.4170479774475097,0.582952082157135,0.560594916343689,0.4394051134586334
"INDUSTRY BABY (feat. Jack Harlow) - Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
חורף באוטו - Omer Adam,חורף באוטו,Omer Adam,major,6.194581031799316,0.1170748248696327,0.8829252123832703,4.180234432220459,4.279860973358154,1.1317119598388672,0.226619690656662,0.7733803391456604,0.701437771320343,0.2985621690750122,0.3683538138866424,0.6316462159156799,0.4111674427986145,0.5888324975967407
היי בייב - Tuna,היי בייב,Tuna,minor,4.279330730438232,0.0883740410208702,0.9116259813308716,4.4173197746276855,4.419670104980469,1.3695682287216189,0.6149941086769104,0.3850058913230896,0.798343300819397,0.2016567140817642,0.6264243125915527,0.373575747013092,0.4149517714977264,0.585048258304596
love nwantiti (ah ah ah) - CKay,love nwantiti (ah ah ah),CKay,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Easy On Me - Adele,Easy On Me,Adele,major,10.76582145690918,0.0891357287764549,0.910864233970642,4.392168998718262,4.9659624099731445,1.050906538963318,0.1835554540157318,0.8164445757865906,0.6550130248069763,0.344987004995346,0.165259763598442,0.834740161895752,0.5730445981025696,0.4269554018974304
חצי דפוק - Omer Adam,חצי דפוק,Omer Adam,major,3.786165237426758,0.1432858407497406,0.8567141890525818,5.1368184089660645,5.035973072052002,1.2611479759216309,0.1849085241556167,0.8150914311408997,0.8389472365379333,0.1610527336597442,0.4499264359474182,0.5500735640525818,0.4412371218204498,0.5587629079818726
