rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:2yPnlfwQ1AmhHauqQWDlWZ,Osher Cohen,מנגן ושר,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,1,7,468325,Osher Cohen,['israeli mediterranean'],THE LAST EPISODE
2,spotify:track:4zXfQYhcSboWEOAwIQST9N,Omer Adam,רק שלך,P.A.I LTD,2,-1,1,401300,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
3,spotify:track:2Ozw7k5CLtM5W9SomrOyjw,Eden Golan,Hurricane,Session42,2,2,3,339860,Eden Golan,[],Hurricane
4,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,2,3,30,290859,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים
5,spotify:track:2fewVF6oOGKux69rHGbPMq,Eden Hason,צוחקת ובוכה,Mobile1 Music,5,5,8,265736,Eden Hason,['israeli mediterranean'],צוחקת ובוכה
6,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",4,4,9,264137,Benson Boone,['singer-songwriter pop'],Beautiful Things
7,spotify:track:1jCAwxwhHIrtWzGeF6WfJ7,Kfir Tsafrir,פחד אלוהים,Tedy Productions / Kfir Tsafrir under exclusive license to D-Music,1,6,19,249036,Kfir Tsafrir,['israeli trap'],פחד אלוהים
8,spotify:track:3IiaTxdKgDe9NvmosLM8bM,ששון איפרם שאולוב,בואי נדבר,Mobile1 Music,4,8,23,227718,ששון איפרם שאולוב,['israeli pop'],בואי נדבר
9,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,7,42,224048,Osher Cohen,['israeli mediterranean'],Part II
10,spotify:track:0SMDtYt5HghaTMFc61nCnP,Omer Adam,ואיך שלא,P.A.I LTD,2,11,16,210354,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",ואיך שלא
