rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,1,22,234676,Benaia Barabi,['israeli mediterranean'],קרן שמש,Israeli
2,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,2,26,211123,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live),Israeli
3,spotify:track:1bd0D0cXcpGeJXsn2Xt8lc,"Odeya, רואי אדם",האמת,Helicon Aroma Music Ltd.,3,3,10,180350,אודיה,['israeli pop'],האמת,Israeli
4,spotify:track:0urIdTVIjmPX5i9dsIusQj,Odeya,החיים שלי אחריך,Helicon Aroma Music Ltd.,4,6,3,160724,אודיה,['israeli pop'],החיים שלי אחריך,Israeli
5,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,4,4,12,152890,Sam Smith,"['pop', 'uk pop']",Unholy (feat. Kim Petras),International
6,spotify:track:3idINUuyRidKbQiMFt6EkU,"Gal Adam, NOROZ",משוגעת,P.A.I LTD / NOROZ under exclusive license to D-Music,6,10,8,148800,Gal Adam,['israeli mediterranean'],משוגעת,Israeli
7,spotify:track:5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,5,18,145136,Noa Kirel,['israeli pop'],פנתרה,Israeli
8,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,6,9,16,144971,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),International
9,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,7,52,144116,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
10,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,8,30,140310,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
11,spotify:track:1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,11,14,3,135603,Eden Hason,['israeli mediterranean'],עד שתבואי עד אליי,Israeli
12,spotify:track:2XNXcmwubbt8MJYlQRb4V2,Odeya,אינטלקטוערס,Helicon Aroma Music Ltd.,6,11,21,124476,אודיה,['israeli pop'],אינטלקטוערס,Israeli
13,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,12,32,120110,Full Trunk,['israeli rock'],ממותה,Israeli
14,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,13,37,119105,Harry Styles,['pop'],Harry's House,International
15,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,12,15,7,115817,Meghan Trainor,"['hip pop', 'pop']",Takin' It Back,International
16,spotify:track:6clAq1cGO4PYimAmzelTmL,Shira Margalit,אחותי כבר לא סובלת אותך,Anana Ltd,16,27,3,113205,Shira Margalit,['israeli pop'],אחותי כבר לא סובלת אותך,Israeli
17,spotify:track:6Eds9y8ZiQHcIegsEIVcYP,"Avraham Tal, Eden Hason",את חסרה לי & אורות,Mobile1 Music,11,16,10,106115,Avraham Tal,['israeli pop'],את חסרה לי & אורות,Israeli
18,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,18,24,2,105350,Metro Boomin,['rap'],HEROES & VILLAINS,International
19,spotify:track:4W1G1xlxcirdtXosgsR0m0,Agam Buhbut,קופידון (Prod. By Triangle),2022 Z.I. Productions BY PIL LTD,10,17,13,104478,Agam Buhbut,['israeli mediterranean'],קופידון (Prod. By Triangle),Israeli
20,spotify:track:05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,19,45,104359,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבד על המיטה,Israeli
21,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,14,18,25,97673,OneRepublic,"['piano rock', 'pop']","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",International
22,spotify:track:3hpaRxH73ciJCuH6QcNWXO,Eden Hason,מטפסים על הקירות,Mobile1 Music,6,21,19,95760,Eden Hason,['israeli mediterranean'],מטפסים על הקירות,Israeli
23,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,21,23,57,92242,Tom Odell,['chill pop'],Long Way Down,International
24,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,11,20,6,88672,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Her Loss,International
