rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party
1,spotify:track:3CZdlwKHGTvfveatbfKD3q,ששון איפרם שאולוב,תמיד אוהב אותי,Mobile1 Music,1,1,14,462594,ששון איפרם שאולוב,['israeli pop'],תמיד אוהב אותי,minor,4.011022091,0.069203958,0.930796087,3.94852829,4.024029255,1.164440632,0.161162496,0.838837504,0.532633185,0.467366844,0.246637687,0.753362298,0.592933655,0.407066405
2,spotify:track:2QkVXq7dLpefWAiETsvIOs,Omer Adam,אהובתי כבר לא רואה אותי,P.A.I LTD,1,2,7,439031,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים,major,4.058221817,0.245521918,0.754478097,4.463493824,4.510781288,1.023692846,0.28153649,0.71846354,0.778372526,0.221627444,0.483316571,0.5166834,0.344473034,0.655526936
3,spotify:track:5ppuL7dOIhd7td0YCJJuwf,Omer Adam,טקילה,P.A.I LTD,2,3,7,315106,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים,major,5.324062824,0.22058022,0.77941978,4.17878294,4.314831257,0.970610857,0.089753576,0.910246432,0.521618426,0.478381544,0.271442413,0.728557527,0.499336839,0.500663221
4,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,4,6,19,314920,Lady Gaga,"['art pop', 'dance pop', 'pop']",Die With A Smile,major,5.330235481,0.098493747,0.901506305,5.30715847,5.306312561,1.029355526,0.540940523,0.459059447,0.88337487,0.116625108,0.769602597,0.230397448,0.133177489,0.866822481
5,spotify:track:3pTsE064ZTJ1n8bP3VAm2c,Omer Adam,תהום,P.A.I LTD,4,4,7,294972,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים,major,3.987947226,0.384199679,0.615800321,4.529395103,4.489061832,1.008920074,0.749777019,0.250223011,0.94782269,0.052177299,0.751906335,0.24809362,0.281499267,0.718500733
6,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,6,9,10,271610,ROSÉ,['k-pop'],rosie,minor,2.230742931,0.005968451,0.994031489,3.616343498,4.599684715,1.260153651,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205
7,spotify:track:4L5Uj4Dt6rjFL0H7hl2qHF,Omer Adam,עברנו הכל,P.A.I LTD,4,7,15,267668,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",עברנו הכל,major,4.550816059,0.155258045,0.844742,5.371396542,5.148579121,1.015236616,0.096954077,0.903045893,0.755218685,0.2447813,0.375043958,0.624956071,0.484393746,0.515606225
8,spotify:track:5nYFRLTLrqiETyy6LUPfhQ,"STILLA, Ness",מגדלים,2024 Va’ad Ha Bait records & Maman Productions by PIL ltd,1,5,24,257940,סטילה,['israeli hip hop'],מגדלים,major,4.133025169,0.043286722,0.956713259,4.367144108,4.955213547,1.247455597,0.233111531,0.766888499,0.534671366,0.465328634,0.16721864,0.832781315,0.557285666,0.442714393
9,spotify:track:37ZPaitKESRLXRkjrvJVTb,Omer Adam,נרקומן של בדידות,P.A.I LTD,5,8,7,254922,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים,minor,3.673121214,0.055380188,0.944619775,4.341179848,4.836349487,1.097769856,0.213022605,0.78697741,0.547252774,0.452747256,0.191531077,0.808468938,0.501946867,0.498053163
10,spotify:track:1ChZJDdEU5tR4ZrLeuDh5u,Osher Cohen,לופ,Helicon Aroma Music Ltd. / P.A.I Ltd.,1,10,15,247387,Osher Cohen,['israeli mediterranean'],לופ,major,3.905012608,0.158817083,0.841182947,5.064147949,5.207120895,1.255351782,0.130846903,0.869153023,0.819004834,0.180995166,0.433084667,0.566915333,0.359092206,0.640907824
