rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,1,7,269566,Noa Kirel,['israeli pop'],פנתרה,Israeli
2,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,2,2,15,232878,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live),Israeli
3,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,3,3,11,181675,Benaia Barabi,['israeli mediterranean'],קרן שמש,Israeli
4,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,4,21,175837,Full Trunk,['israeli rock'],ממותה,Israeli
5,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,6,41,147650,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
6,spotify:track:7DS5SpsWS7rtKeAfe9rbfn,"Nunu, Sagi Kariv, Forever Tel Aviv",Cute Boy,Neomi Aharoni Gal / Forever Tel Aviv under exclusive license to D-Music,1,8,16,143620,Nunu,['israeli hip hop'],Cute Boy,Israeli
7,spotify:track:0UXXAYRUrknaz6FuaPKtFW,אליאב זוהר,מיכל,2022 Eliav Zoharo BY PIL LTD,7,7,9,138239,אליאב זוהר,[],מיכל,Israeli
8,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,8,-1,1,131161,Sam Smith,"['pop', 'uk pop']",Unholy (feat. Kim Petras),International
9,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,9,13,5,125690,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),International
10,spotify:track:3iJQ54fGO6CyP374UzvDJu,Anna Zak,מי זאת,ITModels under exclusive license to D-Music,1,11,19,125195,Anna Zak,['israeli pop'],מי זאת,Israeli
11,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,5,19,122155,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
12,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,9,26,118523,Harry Styles,['pop'],Harry's House,International
13,spotify:track:3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,NaNa Disc,11,12,41,116909,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
14,spotify:track:2XNXcmwubbt8MJYlQRb4V2,Odeya,אינטלקטוערס,Helicon Aroma Music Ltd.,9,10,10,114003,אודיה,['israeli pop'],אינטלקטוערס,Israeli
15,spotify:track:3hpaRxH73ciJCuH6QcNWXO,Eden Hason,מטפסים על הקירות,Mobile1 Music,6,14,8,99757,Eden Hason,['israeli mediterranean'],מטפסים על הקירות,Israeli
16,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,15,36,96284,שחר סאול,['israeli hip hop'],דובשנייה,Israeli
17,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,16,16,14,95179,OneRepublic,"['piano rock', 'pop']","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",International
18,spotify:track:5tNrVA1ySsk7HkV5yg2iXN,"Marina Maximilian, Itay Galo",עולה על שולחנות,Marina Maximilian / Itay Galo under exclusive license to D-Music,17,18,11,92402,Marina Maximilian,['israeli pop'],עולה על שולחנות,Israeli
19,spotify:track:2O1af1DbXF7paOr7O5CRst,Avi Aburomi,ספרי להם הכל,2022 Avi Aburomi BY PIL LTD,12,17,18,85515,Avi Aburomi,['israeli pop'],ספרי להם הכל,Israeli
20,spotify:track:1DAJswyIul47SQNBkYPiCx,Mergui,Sucks to Know You (FU),Mobile1 Music,1,19,11,79621,Mergui,['israeli pop'],Sucks To Know You (FU),Israeli
21,spotify:track:1Dus0KytptzGZvzfAnTcfG,Ran Danker,מלכת הרחבה,NMC United Entertainment Ltd.,21,27,7,78889,Ran Danker,"['festigal', 'israeli pop']",מלכת הרחבה,Israeli
22,spotify:track:63TUZWEmunvQnAdLUD61yY,"Noa Kirel, Gitit Fisher",שלושה בנות,session42,2,34,18,78759,Noa Kirel,['israeli pop'],שלושה בנות,Israeli
23,spotify:track:3fCS3m3uWUgAFm3purs15C,Anna Zak,לך לישון,ITModels under exclusive license to D-Music,1,46,38,76317,Anna Zak,['israeli pop'],לך לישון,Israeli
24,spotify:track:6zJejIfVYLgjud3lTk4DLB,Rosa Linn,SNAP,Nvak Collective,20,20,10,74741,Rosa Linn,['alt z'],SNAP PACK,International
25,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,2,21,42,73197,Eden Hason,['israeli mediterranean'],מה פספסתי,Israeli
26,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,22,22,10,73045,Chris Brown,"['r&b', 'rap']",Indigo (Extended),International
27,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,15,23,43,72404,Jasmin Moallem,['israeli pop'],יחפים,Israeli
